addr,name,size,type,file,fileOffset,r,w,x,v,o
08804000,.text,2387732,i,BOOT.BIN,84,t,f,t,f,f
08a4af14,.sceStub.text,1496,i,BOOT.BIN,2387816,t,f,t,f,f
08a4b4ec,.lib.ent.top,4,i,BOOT.BIN,2389312,t,f,f,f,f
08a4b4f0,.lib.ent,48,i,BOOT.BIN,2389316,t,f,f,f,f
08a4b520,.lib.ent.btm,4,i,BOOT.BIN,2389364,t,f,f,f,f
08a4b524,.lib.stub.top,4,i,BOOT.BIN,2389368,t,f,f,f,f
08a4b528,.lib.stub,480,i,BOOT.BIN,2389372,t,f,f,f,f
08a4b708,.lib.stub.btm,4,i,BOOT.BIN,2389852,t,f,f,f,f
08a4b70c,.rodata.sceModuleInfo,52,i,BOOT.BIN,2389856,t,f,f,f,f
08a4b740,.rodata.sceResident,532,i,BOOT.BIN,2389908,t,f,f,f,f
08a4b954,.rodata.sceNid,1992,i,BOOT.BIN,2390440,t,f,f,f,f
08a4c11c,.data,1441300,i,BOOT.BIN,2392432,t,t,f,f,f
08babf30,.bss,12833488,i,,0,t,t,f,f,f
097e9200,SYSTEM,8482304,u,,0,t,t,f,f,f
.comment::00000000,.comment,34,i,BOOT.BIN,3835008,f,f,f,f,t
.shstrtab::00000000,.shstrtab,313,i,BOOT.BIN,3834692,f,f,f,f,t
_elfHeader::00000000,_elfHeader,52,i,BOOT.BIN,0,f,f,f,f,t
_elfProgramHeaders::00000000,_elfProgramHeaders,32,i,BOOT.BIN,52,f,f,f,f,t
_elfSectionHeaders::00000000,_elfSectionHeaders,960,i,BOOT.BIN,3833732,f,f,f,f,t
